IDtag,RTC_time,,temp,humidity,loadCell,vbat,ElecCond
100,13:24_4/18,,16.72,59.5,0.779108,3.8,237
100,13:29_4/18,,15.69,59.44,0.778186,3.8,193
100,13:34_4/18,,15.29,59.45,0.776941,3.8,234
100,13:39_4/18,,16.39,58.75,0.777165,3.8,234
100,13:44_4/18,,17.03,58.45,0.777071,3.8,193
100,13:49_4/18,,17.51,56.84,0.777052,3.8,207
100,13:54_4/18,,17.15,56.46,0.776613,3.8,207
100,13:59_4/18,,16.88,55.8,0.775953,3.8,194
100,14:4_4/18,,16.66,55.89,0.775649,3.8,204
100,14:9_4/18,,16.81,55.06,0.775203,3.8,204
100,14:14_4/18,,16.95,55.99,0.775313,3.8,193
100,14:19_4/18,,17.51,54.04,0.774948,3.8,232
100,14:24_4/18,,17.5,53.77,0.775292,3.8,232
100,14:29_4/18,,17.36,53.87,0.774535,3.8,193
100,14:34_4/18,,17.61,48.79,0.772893,3.8,205
100,14:39_4/18,,17.49,46.8,0.772684,3.8,205
100,14:44_4/18,,17.5,50.23,0.772463,3.8,193
100,14:49_4/18,,17.18,49.55,0.772222,3.8,206
100,14:54_4/18,,17.05,51.82,0.771974,3.8,206
100,14:59_4/18,,17.54,51.01,0.772096,3.8,193
100,15:4_4/18,,17.99,51.53,0.771941,3.8,207
100,15:9_4/18,,17.68,51.67,0.771432,3.8,207
100,15:14_4/18,,17.42,51.07,0.770398,3.8,193
100,15:19_4/18,,17.36,50.55,0.768592,3.8,241
100,15:24_4/18,,17.75,51.78,0.770836,3.8,241
100,15:29_4/18,,16.88,52.09,0.770419,3.8,192
100,15:34_4/18,,15.33,52.74,0.769619,3.8,207
100,15:39_4/18,,16.7,52.46,0.768274,3.8,207
100,15:44_4/18,,17.83,52.1,0.767515,3.8,192
100,15:49_4/18,,16.8,51.91,0.769028,3.8,207
100,15:54_4/18,,15.25,54.16,0.769788,3.8,207
100,15:59_4/18,,14.49,57.29,0.766204,3.8,193
100,16:4_4/18,,14.31,58.53,0.765006,3.8,207
100,16:9_4/18,,14.41,58.55,0.766208,3.8,207
100,16:14_4/18,,14.18,58.9,0.76356,3.8,190
100,16:19_4/18,,14.31,58.23,0.764001,3.8,249
100,16:24_4/18,,14.25,58.75,0.762121,3.8,249
100,16:29_4/18,,14.76,57.23,0.763121,3.8,192
100,16:34_4/18,,14.37,57.91,0.762107,3.8,208
100,16:39_4/18,,14.54,57.29,0.761546,3.8,208
100,16:44_4/18,,15.03,57.74,0.761802,3.8,194
100,16:49_4/18,,15.41,57.54,0.761254,3.8,207
100,16:54_4/18,,15.11,56.98,0.761424,3.8,207
100,16:59_4/18,,15.11,56.81,0.761157,3.8,194
100,17:4_4/18,,15.19,56.64,0.760222,3.8,244
100,17:9_4/18,,15.35,55.21,0.760133,3.8,244
100,17:14_4/18,,15.33,56.52,0.76016,3.8,194
100,17:19_4/18,,15.25,55.8,0.759485,3.8,245
100,17:24_4/18,,15.22,55.2,0.75874,3.8,245
100,17:29_4/18,,15,55.78,0.758607,3.8,192
100,17:34_4/18,,14.56,56.68,0.759025,3.8,209
100,17:39_4/18,,14.3,57.88,0.756778,3.8,209
100,17:44_4/18,,14.35,57.4,0.755344,3.8,194
100,17:49_4/18,,14.26,58.13,0.756204,3.8,207
100,17:54_4/18,,14.17,59.59,0.755836,3.8,207
100,17:59_4/18,,14.01,59.47,0.755107,3.8,194
100,18:4_4/18,,13.62,60.05,0.753871,3.8,242
100,18:9_4/18,,13.33,60.3,0.752818,3.8,242
100,18:14_4/18,,13.17,60.06,0.754818,3.8,194
100,18:19_4/18,,13.06,59.92,0.753364,3.8,246
100,18:24_4/18,,13.32,59.66,0.752326,3.8,246
100,18:29_4/18,,13.35,60.03,0.75237,3.8,194
100,18:34_4/18,,13.12,60.05,0.751132,3.8,247
100,18:39_4/18,,12.97,60.39,0.751742,3.8,247
100,18:44_4/18,,12.66,60.86,0.751364,3.8,195
100,18:49_4/18,,12.45,61.23,0.748982,3.8,208
100,18:54_4/18,,12.43,61.24,0.750699,3.8,208
100,18:59_4/18,,12.25,61.2,0.750339,3.8,192
100,19:4_4/18,,12.17,61.3,0.750016,3.8,248
100,19:9_4/18,,11.93,61.7,0.749655,3.8,248
100,19:14_4/18,,11.64,62.04,0.7497,3.8,195
100,19:19_4/18,,11.38,63.01,0.74916,3.8,252
100,19:24_4/18,,11.17,63.4,0.74881,3.8,252
